restaurant_id;name;description;price
1;Extra Large Meat Lovers;Whole pie.;15.99
1;Extra Large Supreme;Whole pie.;15.99
1;Extra Large Pepperoni;Whole pie.;14.99
1;"Extra Large BBQ Chicken &amp; Bacon";Whole Pie;15.99
1;Extra Large 5 Cheese;Whole pie.;14.99
1;Extra Large Pepperoni Slice;Slice.;3.99
1;"Extra Large BBQ Chicken &amp; Bacon Slice";;3.99
1;Extra Large Meat Lovers Slice;Slice.;3.99
1;Extra Large Supreme Slice;Slice.;3.99
1;Extra Large 5 Cheese Slice;Slice.;3.99
1;Jumbo Chicken Wings Five Pieces;;8.99
1;Jumbo Chicken Wings Seven Pieces;;10.99
1;Jumbo Chicken Wings Nine Pieces;;12.99
1;Jumbo Chicken Wings Twelve Pieces;;15.99
1;Jumbo Spicy Chicken Wings Five Pieces;;8.99
1;Jumbo Spicy Chicken Wings Seven Pieces;;10.99
1;Jumbo Spicy Chicken Wings Nine Pieces;;12.99
1;Jumbo Spicy Chicken Wings Twelve Pieces;;15.99
1;Five Chicken Tenders;;8.99
1;Seven Chicken Tenders;;10.99
1;Nine Chicken Tenders;;12.99
1;Twelve Chicken Tenders;;15.99
1;Grab and Go Cheese It;3oz.;1.89
1;Doritos Nacho;3.125oz.;1.99
1;Lay's Classic;2.75oz.;1.99
1;Ruffles Cheddar and Sour Cream;2.625oz.;1.99
1;Doritos Cool Ranch;3.125oz.;1.99
1;Cheetos Crunchy;3.5oz.;1.99
1;Funyuns;2.375oz.;1.99
1;Chex Mix Traditional;3.75oz.;2.69
1;Combos Pretzel With Cheddar Cheese;6.30oz.;2.99
1;Snak Club Family Size Energizer Trail Mix;16oz.;7.39
1;Wonderful Roasted and Salted Pistachios;8oz.;10.99
1;Wonderful Roasted and Salted Unshelled Pistachios;6oz.;14.99
1;Wonderful Roasted and Salted Pistachios;16oz;14.99
1;Jack Links Original Jerky;5.85oz.;13.49
1;Jack Links Peppered Jerky;5.85oz.;13.49
1;Jack Links Teriyaki Jerky;5.85oz.;13.49
1;Old Trapper Old Fashion Jerky;10oz.;16.99
1;Old Trapper Peppered Jerky;10oz.;16.99
1;Haribo Gold Bears;8oz.;2.69
1;Hershey Almond King Size;;2.29
1;Hershey Bar Milk Chocolate King Size;;2.29
1;Kit Kat King Size;;2.29
1;M and M Peanut King Size;;2.29
1;Payday King;;2.29
1;Reese Cup King Size;;2.29
1;Reese Fast Break King Size;;2.29
1;Reese Sticks King Size;;2.29
1;Snickers King Two Piece;;2.29
1;Twix Caramel King;;2.29
1;Bon Appetit Cheese and Berry Danish;Single.;2.69
1;Bon Appetit Cheese Croissant;Single.;2.69
1;Bon Appetit Apple Turnover;Single.;2.69
